GRL	-A
ISL	-A
PRT	-B
USA	-B
BRA	-C
SEN	-C
BRA	-D
SLE	-D
AGO	-E
BRA	-E
ARG	-F
ZAF	-F
FRA	-H
GBR	-H
CYP	-I
TUR	-I
MDG	-J
MOZ	-J
JPN	-K
KOR	-K
IND	-L
LKA	-L
AUS	-M
IDN	-M
AUS	-N
NZL	-N
ISL	-O
NOR	-O
CHN	AFG
IRN	AFG
PAK	AFG
TJK	AFG
TKM	AFG
UZB	AFG
-E	AGO
COD	AGO
COG	AGO
NAM	AGO
ZMB	AGO
GRC	ALB
MKD	ALB
MNE	ALB
XKX	ALB
OMN	ARE
SAU	ARE
-F	ARG
BOL	ARG
BRA	ARG
CHL	ARG
PRY	ARG
URY	ARG
AZE	ARM
GEO	ARM
IRN	ARM
TUR	ARM
-M	AUS
-N	AUS
CHE	AUT
CZE	AUT
DEU	AUT
HUN	AUT
ITA	AUT
SVK	AUT
SVN	AUT
ARM	AZE
GEO	AZE
IRN	AZE
RUS	AZE
COD	BDI
RWA	BDI
TZA	BDI
DEU	BEL
FRA	BEL
LUX	BEL
NLD	BEL
BFA	BEN
NER	BEN
NGA	BEN
TGO	BEN
BEN	BFA
CIV	BFA
GHA	BFA
MLI	BFA
NER	BFA
TGO	BFA
IND	BGD
MMR	BGD
GRC	BGR
MKD	BGR
ROU	BGR
SRB	BGR
TUR	BGR
HRV	BIH
MNE	BIH
SRB	BIH
LTU	BLR
LVA	BLR
POL	BLR
RUS	BLR
UKR	BLR
GTM	BLZ
MEX	BLZ
ARG	BOL
BRA	BOL
CHL	BOL
PER	BOL
PRY	BOL
-C	BRA
-D	BRA
-E	BRA
ARG	BRA
BOL	BRA
COL	BRA
GUY	BRA
PER	BRA
PRY	BRA
SUR	BRA
URY	BRA
VEN	BRA
CHN	BTN
IND	BTN
NAM	BWA
ZAF	BWA
ZMB	BWA
ZWE	BWA
CMR	CAF
COD	CAF
COG	CAF
SDN	CAF
TCD	CAF
USA	CAN
AUT	CHE
DEU	CHE
FRA	CHE
ITA	CHE
ARG	CHL
BOL	CHL
PER	CHL
AFG	CHN
BTN	CHN
IND	CHN
KAZ	CHN
KGZ	CHN
LAO	CHN
MMR	CHN
MNG	CHN
NPL	CHN
PAK	CHN
PRK	CHN
RUS	CHN
TJK	CHN
VNM	CHN
BFA	CIV
GHA	CIV
GIN	CIV
LBR	CIV
MLI	CIV
CAF	CMR
COG	CMR
GAB	CMR
GNQ	CMR
NGA	CMR
TCD	CMR
AGO	COD
BDI	COD
CAF	COD
COG	COD
RWA	COD
SDN	COD
TZA	COD
UGA	COD
ZMB	COD
CAF	COG
CMR	COG
COD	COG
GAB	COG
BRA	COL
ECU	COL
PAN	COL
PER	COL
VEN	COL
NIC	CRI
PAN	CRI
-I	CYP
AUT	CZE
DEU	CZE
POL	CZE
SVK	CZE
AUT	DEU
BEL	DEU
CHE	DEU
CZE	DEU
DNK	DEU
FRA	DEU
LUX	DEU
NLD	DEU
POL	DEU
ERI	DJI
ETH	DJI
SOM	DJI
DEU	DNK
HTI	DOM
LBY	DZA
MAR	DZA
MLI	DZA
MRT	DZA
NER	DZA
COL	ECU
PER	ECU
ISR	EGY
LBY	EGY
SDN	EGY
DJI	ERI
ETH	ERI
SDN	ERI
FRA	ESP
PRT	ESP
LVA	EST
RUS	EST
DJI	ETH
ERI	ETH
KEN	ETH
SDN	ETH
SOM	ETH
NOR	FIN
RUS	FIN
SWE	FIN
-H	FRA
BEL	FRA
CHE	FRA
DEU	FRA
ESP	FRA
ITA	FRA
LUX	FRA
CMR	GAB
COG	GAB
GNQ	GAB
-H	GBR
IRL	GBR
ARM	GEO
AZE	GEO
RUS	GEO
TUR	GEO
BFA	GHA
CIV	GHA
TGO	GHA
CIV	GIN
GNB	GIN
LBR	GIN
MLI	GIN
SEN	GIN
SLE	GIN
SEN	GMB
GIN	GNB
SEN	GNB
CMR	GNQ
GAB	GNQ
ALB	GRC
BGR	GRC
MKD	GRC
TUR	GRC
-A	GRL
BLZ	GTM
HND	GTM
MEX	GTM
SLV	GTM
BRA	GUY
SUR	GUY
VEN	GUY
GTM	HND
NIC	HND
SLV	HND
BIH	HRV
HUN	HRV
ITA	HRV
SRB	HRV
SVN	HRV
DOM	HTI
AUT	HUN
HRV	HUN
ROU	HUN
SRB	HUN
SVK	HUN
SVN	HUN
UKR	HUN
-M	IDN
PNG	IDN
TLS	IDN
-L	IND
BGD	IND
BTN	IND
CHN	IND
MMR	IND
NPL	IND
PAK	IND
AFG	IRN
ARM	IRN
AZE	IRN
IRQ	IRN
PAK	IRN
TKM	IRN
TUR	IRN
IRN	IRQ
JOR	IRQ
KWT	IRQ
SAU	IRQ
SYR	IRQ
